rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
256,52,58.0,46,6,0,47,1,1,3,60.226500,25.009286
257,51,58.0,44,7,0,40,5,2,4,60.193506,25.033290
258,49,58.0,40,9,0,38,6,3,2,60.189065,24.955618
259,48,58.0,38,10,0,38,6,2,2,60.160627,24.930498
260,46,58.0,36,9,1,33,5,3,5,60.242264,25.019178
261,46,58.0,34,12,0,41,2,2,1,60.206504,25.135210
262,43,58.0,28,15,0,27,12,3,1,60.198749,24.927336
263,53,57.0,49,4,0,52,0,0,1,60.242338,24.941033
264,51,57.0,45,6,0,47,1,3,0,60.158485,24.945288
265,50,57.0,43,7,0,44,3,2,1,60.175048,24.921346
266,56,56.0,56,0,0,54,1,0,1,60.160742,24.942666
267,50,56.0,44,6,0,46,0,3,1,60.189568,24.915640
268,50,56.0,44,6,0,47,1,1,1,60.172944,24.961025
269,49,56.0,42,7,0,43,2,2,2,60.230396,25.009549
270,49,56.0,42,7,0,38,4,7,0,60.172555,24.938948
271,48,56.0,40,8,0,41,2,5,0,60.195432,24.959072
272,47,56.0,38,9,0,35,4,6,2,60.171167,24.924782
273,47,56.0,38,9,0,42,0,0,5,60.242902,24.947104
274,46,56.0,36,10,0,43,0,0,3,60.216954,24.972963
275,46,56.0,36,10,0,35,4,7,0,60.196978,24.951100
276,45,56.0,34,11,0,37,6,0,2,60.243548,24.846282
277,44,56.0,32,12,0,43,1,0,0,60.244645,24.947396
278,49,55.0,43,6,0,48,0,0,1,60.242943,24.942931
279,49,55.0,43,6,0,41,2,5,1,60.165021,24.925306
280,46,55.0,37,9,0,33,4,9,0,60.212976,25.082907
281,45,55.0,35,10,0,42,0,1,2,60.235467,25.083023
282,45,55.0,35,10,0,33,3,8,1,60.187078,24.959221
283,45,55.0,37,7,1,36,1,6,2,60.187248,24.955032
284,44,55.0,33,11,0,34,3,4,3,60.256908,24.998490
285,44,55.0,33,11,0,27,12,5,0,60.163140,24.915186
286,44,55.0,33,11,0,37,3,3,1,60.195198,24.945048
287,43,55.0,31,12,0,35,2,4,2,60.239555,24.851304
288,43,55.0,33,9,1,31,9,2,1,60.186639,24.967346
289,42,55.0,31,10,1,33,2,7,0,60.194944,24.891329
290,41,55.0,27,14,0,33,3,5,0,60.180420,24.928201
291,39,55.0,23,16,0,26,7,4,2,60.215185,24.875394
292,47,54.0,40,7,0,44,0,3,0,60.171173,24.953378
293,46,54.0,38,8,0,37,2,6,1,60.190717,24.908887
294,45,54.0,36,9,0,40,1,1,3,60.246812,24.889169
295,45,54.0,36,9,0,33,2,8,2,60.169036,24.942866
296,43,54.0,32,11,0,42,0,0,1,60.234587,24.890992
297,41,54.0,28,13,0,33,4,4,0,60.192681,24.964622
298,40,54.0,26,14,0,25,6,6,3,60.237063,24.928924
299,34,54.0,16,17,1,30,2,1,1,60.250405,24.833732
300,50,53.0,47,3,0,47,0,0,3,60.213454,24.883256
301,47,53.0,41,6,0,37,1,8,1,60.172316,24.947305
302,47,53.0,41,6,0,39,3,1,4,60.205254,25.119137
303,46,53.0,39,7,0,38,2,6,0,60.205238,24.878688
304,45,53.0,37,8,0,40,0,0,5,60.234915,24.897084
305,44,53.0,35,9,0,41,0,2,1,60.176497,24.930739
306,43,53.0,33,10,0,36,1,4,2,60.212590,24.970385
307,40,53.0,27,13,0,28,9,2,1,60.193631,24.948839
308,39,53.0,25,14,0,30,7,1,1,60.185112,24.934577
309,46,52.0,40,6,0,41,0,1,4,60.160698,24.921367
310,43,52.0,34,9,0,34,4,1,4,60.208909,24.946892
311,43,52.0,34,9,0,34,6,2,1,60.190558,24.957000
312,40,52.0,28,12,0,30,5,3,2,60.179148,24.954904
313,43,51.0,35,8,0,35,4,2,2,60.187156,24.920712
314,41,51.0,31,10,0,33,5,3,0,60.163021,24.930885
315,40,51.0,31,8,1,35,1,3,1,60.205049,24.880525
316,38,51.0,25,13,0,29,7,1,1,60.232883,24.889196
317,38,51.0,25,13,0,31,0,5,2,60.187326,24.957044
318,38,51.0,25,13,0,30,2,3,3,60.221001,24.861633
319,35,51.0,19,16,0,21,3,8,3,60.264510,24.983330
320,49,50.0,48,1,0,46,1,2,0,60.163213,24.947077
321,48,50.0,46,2,0,42,0,4,2,60.159075,24.946599
322,47,50.0,44,3,0,41,1,3,2,60.162870,24.928753
323,42,50.0,34,8,0,35,3,2,2,60.182431,24.929099
324,42,50.0,34,8,0,40,1,0,1,60.228713,25.076416
325,41,50.0,32,9,0,30,4,7,0,60.210492,24.888704
326,40,50.0,32,7,1,39,1,0,0,60.191320,24.900842
327,40,50.0,32,7,1,37,0,2,1,60.223585,25.114619
328,39,50.0,28,11,0,25,11,0,3,60.264347,24.991437
329,37,50.0,24,13,0,25,3,8,1,60.191296,24.905070
330,46,49.0,43,3,0,43,0,0,3,60.163194,24.927290
331,45,49.0,41,4,0,38,2,3,2,60.172731,24.923066
332,44,49.0,39,5,0,38,0,5,1,60.178953,24.924985
333,42,49.0,35,7,0,38,1,2,1,60.167137,24.961341
334,39,49.0,29,10,0,25,5,7,2,60.191013,24.964554
335,38,49.0,27,11,0,31,6,0,1,60.223460,24.863143
336,36,49.0,23,13,0,20,9,1,6,60.259758,24.988886
337,46,48.0,44,2,0,38,3,5,0,60.162779,24.942776
338,44,48.0,40,4,0,39,0,3,2,60.175039,24.922549
339,43,48.0,38,5,0,38,2,1,2,60.161288,24.925113
340,42,48.0,36,6,0,34,2,6,0,60.249079,25.009034
341,41,48.0,34,7,0,31,3,6,1,60.186580,24.946917
342,38,48.0,28,10,0,31,0,4,3,60.192501,24.961002
343,38,48.0,28,10,0,32,1,1,4,60.284200,25.029548
344,47,47.0,47,0,0,47,0,0,0,60.163004,24.936853
345,44,47.0,41,3,0,41,2,1,0,60.242881,24.993101
346,43,47.0,39,4,0,36,2,2,3,60.174774,24.959083
347,39,47.0,31,8,0,34,3,1,1,60.206737,24.936952
348,39,47.0,31,8,0,33,2,2,2,60.187191,24.976835
349,39,47.0,31,8,0,37,1,1,0,60.240563,24.922897
350,37,47.0,29,7,1,27,6,1,3,60.182432,24.961334
351,37,47.0,27,10,0,27,9,1,0,60.164831,24.909106
352,37,47.0,27,10,0,24,4,7,2,60.228939,24.963124
353,36,47.0,25,11,0,33,0,1,2,60.221420,24.945357
354,35,47.0,23,12,0,26,3,2,4,60.181274,24.920812
355,34,47.0,21,13,0,23,5,3,3,60.245444,24.849214
356,42,46.0,38,4,0,40,0,0,2,60.234593,24.865030
357,41,46.0,36,5,0,32,1,5,3,60.159131,24.937085
358,40,46.0,34,6,0,35,3,0,2,60.164495,24.916754
359,40,46.0,34,6,0,35,0,1,4,60.157196,24.934951
360,39,46.0,32,7,0,37,0,0,2,60.234551,24.861026
361,39,46.0,32,7,0,34,1,1,3,60.191308,24.953074
362,38,46.0,30,8,0,37,0,0,1,60.226735,25.076717
363,37,46.0,28,9,0,28,5,2,2,60.196436,24.943560
364,36,46.0,26,10,0,26,3,2,5,60.235211,25.021056
365,35,46.0,24,11,0,35,0,0,0,60.216965,24.977131
366,34,46.0,22,12,0,33,0,0,1,60.242515,25.051074
367,34,46.0,22,12,0,18,2,13,1,60.212369,25.081837
368,34,46.0,22,12,0,27,1,6,0,60.194761,24.903004
369,32,46.0,20,11,1,26,2,1,3,60.267619,25.030814
370,42,45.0,39,3,0,38,0,2,2,60.151116,24.915549
371,36,45.0,27,9,0,28,1,6,1,60.237013,25.088544
372,36,45.0,27,9,0,31,3,2,0,60.201074,24.933657
373,35,45.0,25,10,0,25,3,7,0,60.232903,25.012645
374,35,45.0,25,10,0,29,4,1,1,60.162993,24.859186
375,35,45.0,25,10,0,23,5,5,2,60.234318,24.930879
376,33,45.0,21,12,0,18,13,0,2,60.263489,25.057305
377,41,44.0,38,3,0,40,0,1,0,60.234753,24.888979
378,40,44.0,36,4,0,35,3,1,1,60.161280,24.937191
379,39,44.0,34,5,0,32,4,3,0,60.193313,25.031016
380,38,44.0,32,6,0,33,1,1,3,60.183036,24.962816
381,36,44.0,28,8,0,25,4,6,1,60.182563,24.955424
